AIRLINE,COUNTRY,INFORMATION
DHL International Aviation,  Bahrain,  10 aircraft 
Diamond Avtn,  United Kingdom, inactive (with supported aircraft)
Diamond Sakha,  Russia, inactive (with supported aircraft)Renamed / Merged to Sakha Airlines
Diamond Sky,  Estonia, inactive (with supported aircraft)
Diexim Expresso,  Angola, inactive (with supported aircraft)
Dinar Lineas Aereas,  Argentina, inactive (with supported aircraft)
Direct Aero Services,  Romania, inactive (with supported aircraft)
Direct Air,  USA, inactive (with supported aircraft)
Direct Fly,  Poland, inactive (with supported aircraft)
Dirgantara Air Services,  Indonesia, inactive (with supported aircraft)
Discover Air,  USA, inactive (with supported aircraft)
Discovery Air,  Nigeria, inactive (with supported aircraft)
Discovery Airways,  USA, inactive (with supported aircraft)
Discovery Link,  Czech Republic, inactive (with supported aircraft)
Divi Divi Air,  Netherlands Antilles, inactive (with supported aircraft)
DLH,  Germany, inactive (with supported aircraft)
DLT,  Germany, inactive (with supported aircraft)Renamed / Merged to Lufthansa Cityline
Dniproavia,  Ukraine, inactive (with supported aircraft)
Dobrolet,  Russia, inactive (with supported aircraft)
Dolphin Air,  United Arab Emirates, inactive (with supported aircraft)
Domededovo CAPA,  Russia, inactive (with supported aircraft)
Dominican Wings,  Dominican Republic, inactive (with supported aircraft)
Dominicana,  Dominican Republic, inactive (with supported aircraft)
Donavia,  Russia, inactive (with supported aircraft)Renamed / Merged to Rossiya
Donbassaero,  Ukraine, inactive (with supported aircraft)
Donghai Airlines,  China,  23 aircraft 
Dragonair,  Hong-Kong, inactive (with supported aircraft)Renamed / Merged to Cathay Dragon
Dream Wind,  Ukraine, inactive (with supported aircraft)
Druk Air,  Bhutan,  5 aircraft 
Dubai Air Wing,  United Arab Emirates,  10 aircraft 
Dubrovnik Airline,  Croatia, inactive (with supported aircraft)
Ducor World Airways,  Equatorial Guinea, inactive (with supported aircraft)
Duo Airways,  United Kingdom, inactive (with supported aircraft)
Dutch Antilles Express,  Netherlands Antilles, inactive (with supported aircraft)
Dutch Caribbean Airlines,  Netherlands, inactive (with supported aircraft)
Dutch Caribbean Coast Guard,  Netherlands Antilles,  1 aircraft 
Dutch Caribbean Express,  Netherlands Antilles, inactive (with supported aircraft)
DutchBird,  Netherlands, inactive (with supported aircraft)
Dynamic Airways,  USA, inactive (with supported aircraft)Renamed / Merged to Eastern Airlines
Dynamic Aviation Group,  USA,  3 aircraft 
E-Cargo,  Russia,  1 aircraft 
EA-727,  USA, inactive (with supported aircraft)
Eagle Air,  Iceland, inactive (with supported aircraft)
Eagle Airlines,  USA, inactive (with supported aircraft)
Eagle Airways,  New Zealand, inactive (with supported aircraft)
Eagle Atlantic Airlines,  Ghana, inactive (with supported aircraft)
Eagle Aviation,  France, inactive (with supported aircraft)
Eagle Aviation Kenya,  Kenya, inactive (with supported aircraft)Renamed / Merged to East African Safari Air
Eagles Airlines,  Italy, inactive (with supported aircraft)
Eaglexpress Air,  Malaysia, inactive (with supported aircraft)
EAL,  USA, inactive (with supported aircraft)
Earth Airlines,  Nigeria, inactive (with supported aircraft)
EAS,  Nigeria, inactive (with supported aircraft)Renamed / Merged to Nicon Airways
EAS Europe Airlines,  France, inactive (with supported aircraft)
East African Airlines,  Uganda, inactive (with supported aircraft)
East African Airways,  Kenya, inactive (with supported aircraft)
East African Safari Air,  Kenya, inactive (with supported aircraft)
East Air,  Tajikistan, inactive (with supported aircraft)
East Horizon Airlines,  Afghanistan, inactive (with supported aircraft)
East Star Airlines,  China, inactive (with supported aircraft)
East West Airlines,  Australia, inactive (with supported aircraft)Renamed / Merged to Ansett Australia
East West Airlines India,  India, inactive (with supported aircraft)
East-West Express,  Ukraine, inactive (with supported aircraft)
EastAfrican,  Kenya,  1 aircraft 
Eastar Jet,  South Korea,  7 aircraft 
Eastern Air Lines,  USA, inactive (with supported aircraft)
Eastern Airlines,  USA,  13 aircraft 
Eastern Airlines EAL,  USA, inactive (with supported aircraft)
Eastern Airways,  United Kingdom,  7 aircraft 
Eastern Australia,  Australia,  19 aircraft 
Eastern Provincial Airways,  Canada, inactive (with supported aircraft)Renamed / Merged to Cp Air
Eastern Skyjets,  United Arab Emirates, inactive (with supported aircraft)
Eastok Avia,  Tajikistan, inactive (with supported aircraft)
Eastwind Airlines,  USA, inactive (with supported aircraft)
Easy Charter,  Georgia,  1 aircraft 
EasyFly,  Lebanon, inactive (with supported aircraft)
EasyFly Colombia,  Colombia,  20 aircraft 
EasyJet,  United Kingdom,  178 aircraft 
EasyJet Europe,  Austria,  128 aircraft 
EasyJet Group,  United Kingdom,  333 aircraft 
EasyJet Switzerland,  Switzerland,  27 aircraft 
EasySky Airlines,  Honduras, inactive (with supported aircraft)
EAT,  Belgium, inactive (with supported aircraft)
EAT Leipzig,  Germany,  36 aircraft 
EBA France,  France, inactive (with supported aircraft)
EBA Italy,  Italy, inactive (with supported aircraft)
EC Air - Equatorial Congo Airlines,  Congo, inactive (with supported aircraft)
Ecoair International,  Algeria, inactive (with supported aircraft)
EcoJet,  Bolivia,  3 aircraft 
Ecuadorean AIr Force,  Ecuador,  1 aircraft 
Ecuato Guineana de Aviacion,  Equatorial Guinea, inactive (with supported aircraft)
Ecuatoriana,  Ecuador, inactive (with supported aircraft)
ECXpress,  Jamaica, inactive (with supported aircraft)Renamed / Merged to Air Jamaica Express
Edelweiss Air,  Switzerland,  18 aircraft 
Efly,  Malta, inactive (with supported aircraft)
EG G,  USA,  3 aircraft 
EGO Airways,  Italy, inactive (with supported aircraft)
Egypt Air Express,  Egypt, inactive (with supported aircraft)Renamed / Merged to Egyptair
Egypt Gvmt,  Egypt,  3 aircraft 
Egyptair,  Egypt,  72 aircraft 
Egyptian Gvmt,  Egypt, inactive (with supported aircraft)
EirJet,  Ireland, inactive (with supported aircraft)
EJA,  USA, inactive (with supported aircraft)
Ekspres Air,  Indonesia, inactive (with supported aircraft)
El Al Israel Airlines,  Israel,  42 aircraft 
El Sol de America,  Venezuela, inactive (with supported aircraft)
Elan Express,  USA,  1 aircraft 
Eldorado Aviation,  Canada, inactive (with supported aircraft)
Electra Airlines,  Greece, inactive (with supported aircraft)
Electra Airways,  Bulgaria,  9 aircraft 
Elevate Jet,  USA,  2 aircraft 
Elitavia Malta,  Malta,  1 aircraft 
Elite Airlines,  Greece, inactive (with supported aircraft)
Elite Airways,  USA, inactive (with supported aircraft)
Ellinair,  Greece, inactive (with supported aircraft)
Elysair,  France, inactive (with supported aircraft)Renamed / Merged to Open Skies France
Elysian Airlines,  Cameroon, inactive (with supported aircraft)
Embraer,  Brazil,  5 aircraft 
Emerald Air,  United Kingdom, inactive (with supported aircraft)
Emerald Airlines,  Ireland,  10 aircraft 
Emerald Airlines UK,  United Kingdom,  6 aircraft 
Emerald Jets,  Lebanon, inactive (with supported aircraft)
Emery Worldwide Airlines,  USA, inactive (with supported aircraft)Renamed / Merged to UPS
Emir Airlines,  Saudi Arabia, inactive (with supported aircraft)
Emirates,  United Arab Emirates,  246 aircraft 
Emirates International Air Cargo,  United Arab Emirates, inactive (with supported aircraft)
Empire Airlines,  USA,  2 aircraft 
Empire Airlines (old),  USA, inactive (with supported aircraft)Renamed / Merged to Piedmont (old)
Empire Aviation Group,  United Arab Emirates,  2 aircraft 
Empost,  United Arab Emirates, inactive (with supported aircraft)
Emtrasur Cargo,  Venezuela, inactive (with supported aircraft)
Endeavor Air,  USA,  125 aircraft 
Enerjet,  Canada, inactive (with supported aircraft)Renamed / Merged to Lynx Air
Enhance Aero Group,  France, inactive (with supported aircraft)
Enter Air,  Poland,  31 aircraft 
Envoy,  USA,  128 aircraft 
EOS Airlines,  USA, inactive (with supported aircraft)
Equaflight Service,  Congo, inactive (with supported aircraft)
Equair,  Ecuador,  3 aircraft 
ERA Alaska,  USA, inactive (with supported aircraft)Renamed / Merged to Ravn Alaska
Eram Air,  Iran, inactive (with supported aircraft)
Eritrean Airlines,  Eritrea, inactive (with supported aircraft)
Erkin Air,  Kyrgyzstan, inactive (with supported aircraft)
Ernest Airlines,  Italy, inactive (with supported aircraft)
Esen Air,  Kyrgyzstan, inactive (with supported aircraft)
Estafeta Carga Aerea,  Mexico,  6 aircraft 
Estelar Latinoamerica,  Venezuela,  3 aircraft 
Estonian Air,  Estonia, inactive (with supported aircraft)
Eswatini Air,  Eswatini, inactive (with supported aircraft)
ETF Airways,  Croatia,  3 aircraft 
Ethiopian Airlines,  Ethiopia,  137 aircraft 
Etihad Airways,  United Arab Emirates,  80 aircraft 
EU Jet,  Ireland, inactive (with supported aircraft)
Euralair Horizons,  France, inactive (with supported aircraft)Renamed / Merged to Air Horizons
Eureca,  Italy, inactive (with supported aircraft)
Eurex Cargo,  Georgia, inactive (with supported aircraft)
Euro Atlantic Airways,  Portugal,  4 aircraft 
Euro First Air,  Spain, inactive (with supported aircraft)
Euro Sun,  Turkey, inactive (with supported aircraft)
Euro-Asia,  Qazakhstan,  2 aircraft 
EuroAir,  Greece, inactive (with supported aircraft)
Eurobelgian Airlines,  Belgium, inactive (with supported aircraft)Renamed / Merged to Virgin Express
Euroberlin,  France, inactive (with supported aircraft)
Eurocypria,  Cyprus, inactive (with supported aircraft)
Eurofly,  Italy, inactive (with supported aircraft)Renamed / Merged to Meridiana
Eurohopper,  Netherlands, inactive (with supported aircraft)
Eurojet Airlines,  France, inactive (with supported aircraft)
EuroLine,  Georgia, inactive (with supported aircraft)
Eurolot,  Poland, inactive (with supported aircraft)
Euromanx,  United Kingdom, inactive (with supported aircraft)
EuroMediterranean Airline,  Egypt, inactive (with supported aircraft)
Europe Aero Service,  France, inactive (with supported aircraft)
Europe Airpost,  France, inactive (with supported aircraft)Renamed / Merged to ASL Airlines France
European,  Sweden, inactive (with supported aircraft)
European Air Charter,  Bulgaria,  16 aircraft 
European Air Express,  Germany, inactive (with supported aircraft)
European Air Transport,  Belgium, inactive (with supported aircraft)
European Aircharter,  United Kingdom, inactive (with supported aircraft)
European Airlines,  Belgium, inactive (with supported aircraft)
European Cargo,  United Kingdom,  3 aircraft 
European Regions Airlines,  Spain, inactive (with supported aircraft)
Euroscot Express Airways,  United Kingdom, inactive (with supported aircraft)
Eurowings,  Germany,  100 aircraft 
Eurowings Discover,  Germany,  20 aircraft 
Eurowings Europe,  Austria, inactive (with supported aircraft)
Eurowings Europe Malta,  Malta,  20 aircraft 
Eurus Aviation,  Mexico,  2 aircraft 
EVA Air,  Taiwan,  89 aircraft 
Evelop Airlines,  Spain, inactive (with supported aircraft)Renamed / Merged to Iberojet
Evergreen International Airlines,  USA, inactive (with supported aircraft)
Everjets,  Portugal, inactive (with supported aircraft)
Everts Air,  USA,  9 aircraft 
EWA Air,  France,  3 aircraft 
Excalibur,  United Kingdom, inactive (with supported aircraft)
Excel Airways,  United Kingdom, inactive (with supported aircraft)Renamed / Merged to XL Airways
Executive Aero Space,  South Africa, inactive (with supported aircraft)
Executive Jet Aviation,  USA, inactive (with supported aircraft)Renamed / Merged to Netjets
Exploits Valley Air Services,  Canada,  7 aircraft 
Express Air Cargo,  Tunisia,  3 aircraft 
Express Airways,  Slovakia, inactive (with supported aircraft)
Express City,"  Congo, Democratic Republic of", inactive (with supported aircraft)Renamed / Merged to Congo Airlines
Express Freighters Australia,  Australia,  8 aircraft 
Express net Airlines,  USA, inactive (with supported aircraft)
Express One,  USA, inactive (with supported aircraft)
Expressair,  Indonesia, inactive (with supported aircraft)
Expressjet,  USA, inactive (with supported aircraft)
EZ Air,  Netherlands Antilles,  3 aircraft 
Eznis Airways,  Mongolia,  3 aircraft 
Facts Air,  Mexico, inactive (with supported aircraft)
FAI Rent a Jet,  Germany, inactive (with supported aircraft)
Fair Aviation,  South Africa, inactive (with supported aircraft)
Fairline,  Austria, inactive (with supported aircraft)
Fairlines SA,  France, inactive (with supported aircraft)
Falcon Air,  Sweden, inactive (with supported aircraft)
Falcon Air Express,  USA, inactive (with supported aircraft)
Falcon Aviation Service ,  United Arab Emirates,  2 aircraft 
Family Airlines,  USA, inactive (with supported aircraft)
FANair,  Ukraine, inactive (with supported aircraft)
Fanjet Express,  Kenya,  2 aircraft 
Far Eastern Air Transport,  Taiwan, inactive (with supported aircraft)
FarCargo,  Denmark, inactive (with supported aircraft)
Farnair Europe,  Netherlands, inactive (with supported aircraft)
Farnair Hungary,  Hungary, inactive (with supported aircraft)Renamed / Merged to ASL Airlines Hungary
Farnair Netherlands,  Netherlands, inactive (with supported aircraft)
Farnair Switzerland,  Switzerland, inactive (with supported aircraft)Renamed / Merged to ASL Airlines Switzerland
FaroeJet,  Denmark, inactive (with supported aircraft)
Fars Air Qeshm,  Iran,  1 aircraft 
Fast Link,  Egypt, inactive (with supported aircraft)
FastJet,  Tanzania, inactive (with supported aircraft)
FastJet Mozambique,  Mozambique, inactive (with supported aircraft)
FastJet Zambia,  Zambia, inactive (with supported aircraft)
FastJet Zimbabwe,  Zimbabwe,  5 aircraft 
Faucett,  Peru, inactive (with supported aircraft)
Federal Air,  South Africa, inactive (with supported aircraft)
Federal Express,  USA,  427 aircraft 
Federal Government of Nigeria,  Nigeria,  2 aircraft 
Federico II Airways,  Italy, inactive (with supported aircraft)
Feeder Airlines,  Sudan, inactive (with supported aircraft)Renamed / Merged to South Supreme Airlines
Felix Airways,  Yemen,  3 aircraft 
Field Aviation,  Canada, inactive (with supported aircraft)
Fiji Airways,  Fiji,  13 aircraft 
Fiji Link,  Fiji,  3 aircraft 
Filder Air Service Airlines,  Germany, inactive (with supported aircraft)Renamed / Merged to European Air Express
Fina Air,  Brazil, inactive (with supported aircraft)
Fine Air,  USA, inactive (with supported aircraft)
Finnair,  Finland,  55 aircraft 
Finnaviation,  Finland, inactive (with supported aircraft)Renamed / Merged to Finnair
Finncomm Airlines,  Finland, inactive (with supported aircraft)Renamed / Merged to Flybe Nordic
Finova,  USA, inactive (with supported aircraft)
Firefly,  Malaysia,  14 aircraft 
First Air,  Canada, inactive (with supported aircraft)Renamed / Merged to Canadian North
